id,질문,예상답변,정답
79,청록색 호박 프로젝트는 어떤 단체에 의해 시작되었나요?,청록색 호박 프로젝트는 **한국방송공사(KBS)** 에 의해 시작되었습니다.,식품 알레르기 연구교육(Food Allergy Research Education (F.A.R.E.))에 의해 시작된 국가적인 캠페인입니다.
80,아칸소 주 하원에서 통과된 주류승인절차 개정안의 주요 내용은 무엇인가?,아칸소 주 하원에서 통과된 주류승인 개정안의 주요 내용은 알코올 제조 및 판매에 대한 규제 완화와 소규모 주류 생산자들의 허가 절차 간소화입니다.,법안에 따르면 각 카운티의 위원회가 발행할 수 있는 승인 건수는 현행보다 줄어들고 승인 무효화에 걸리는 유효기간은 18개월이 됨.
81,동물 사료의 항생제 남용이 어린이에게 어떤 위험을 초래할 수 있는가?,동물 사료에 남용된 항생제는 식품을 통해 어린이에게 내성균 전파 위험을 초래할 수 있습니다.,"동물 사료의 항생제 남용으로 인해 항생제 내성균이 생겨나고, 이는 영아와 어린이들이 감염될 경우 치료가 어려워져 생명이 위험해질 수 있다."
82,세계보건기구가 권고하는 성인 및 어린이의 유리당 일일 섭취량은 얼마인가요?,"세계보건기구는 성인의 경우 하루 25그램, 어린이의 경우 연령에 따라 다르지만 대략 하루 19~37그램을 권장합니다.","성인 및 어린이에게 유리당 일일 섭취량을 총 에너지 섭취량의 10% 이하로 줄일 것을 권고하며, 5% 이하 혹은 대략 25g 이하로 줄이는 것은 건강상 이득을 가져다 줄 수 있음."
83,WHO의 가공육 발암 보고서에 대해 미국 식육업계는 어떻게 반응했는가?,미국 식육업계는 WHO 보고서에 대해 과학적 근거 부족과 과도한 규제 우려를 제기하며 반박했다.,"미국 식육업계는 WHO의 명성과 연구 방법을 비난하며, 가공육은 안전하다고 반박했다."
84,허쉬(사)는 어떤 제품에 진짜 바닐라를 사용하기로 했나요?,허쉬는 초콜릿 제품에 진짜 바닐라를 사용하기로 했습니다.,허쉬(사)는 우유 초콜릿 허쉬 키세스와 바 제품에 진짜 바닐라를 사용하기로 했습니다.
85,FDA가 트랜스지방 금지로 예방할 수 있다고 밝힌 심근경색 건수는 몇 건인가?,FDA가 트랜스지방 금지로 예방 가능하다고 밝힌 심근경색 건수는 연간 약 2만 건입니다.,2만 건
86,유럽연합 집행위원회가 허가한 GMO 품종의 유효기간은 얼마인가요?,유럽연합의 GMO 품종 유효기간에 대한 구체적인 기간은 명시적으로 정해진 바가 없습니다. 허가는 개별 사례별로 평가되며 기간은 상황에 따라 다릅니다.,이번 EU 집행위원회의 허가 유효기간은 10년입니다.
87,유럽의회가 반대한 GM옥수수의 이름은 무엇인가?,유럽의회가 반대한 GM옥수수의 구체적인 이름은 공개 자료에 명확히 기재되어 있지 않습니다. 특정 제품 명칭 대신 일반적으로 유럽의회가 우려를 표명한 GM옥수수에 대한 정보를 제공할 수 있습니다. 만약 특정 제품을 묻는다면 추가 정보가 필요합니다.,NK603xT25
88,유럽의회가 동물 복제 및 관련 식품 수입 금지를 지지한 이유는 무엇인가?,유럽의회는 동물 복제 기술이 동물 복지에 부정적인 영향을 미칠 수 있고 윤리적 문제를 야기하며 소비자들의 신뢰를 저해한다고 판단하여 동물 복제 및 관련 식품 수입을 반대했습니다.,유럽의회는 복제의 각 개발 단계에서의 사망률과 유럽 시민의 동물 복지 및 윤리에 관한 우려를 들어 EU집행위의 초안에 힘을 실었기 때문이다.
89,유럽식품안전청은 GM 식물의 알레르기 유발성 위해평가 가이던스를 수정하기 위해 어떤 이해관계자들의 의견을 수렴하고 있나요?,"유럽식품안전청은 GM 식물의 알레르기 유발성 위해평가 가이던스 수정을 위해 식품 제조사, 알레르기 전문가, 소비자 단체 등의 의견을 수렴하고 있습니다.","회원국, 국제파트너, 학계, NGO, 산업계 등의 의견을 수렴하고 있음."
90,앤 글로버 교수는 스코틀랜드 정부의 GM 작물 금지 결정에 대해 어떤 비판을 했나요?,앤 글로버 교수는 스코틀랜드 정부의 GM 작물 금지 결정에 대해 과학적 근거 부족과 농업 다양성 감소 우려를 비판했습니다.,앤 글로버 교수는 GM 작물 재배 금지가 감자 잎마름병과 같은 문제들을 해결하는 진보를 저지할 것이라고 비판했습니다.
91,리 네리슨 의원이 상정할 법안의 주요 내용은 무엇인가?,리 네리슨 의원이 상정할 법안의 주요 내용은 제공된 정보가 부족하여 구체적으로 알 수 없습니다.,농가에서 동물 학대 현장을 영상이나 사진으로 촬영하는 자를 단속하거나 벌금을 물게 할 법안을 상정할 계획이다.
92,와이오밍주 식품 자유법은 어떤 식품 판매를 면제시켜주나요?,와이오밍주의 식품 자유법은 유기농 제품 판매를 면제시켜줍니다.,"와이오밍주 식품 자유법은 가정에서 만들거나 기른 상품을 판매하는 소규모 농민이나 개인이 검사, 면허취득 및 증명서 없이 식품을 판매하도록 면제시켜줍니다."
93,인도에서 탄산음료에 제안된 죄악세율은 얼마인가?,인도에서 탄산음료에 적용되는 죄악세율은 제품 가격의 12%입니다.,40%
94,미국 네슬레는 언제까지 방사란으로 교체할 계획인가?,미국 네슬레가 방사란으로 브랜드를 교체할 구체적인 기한에 대한 공식 발표는 확인되지 않았습니다. 정확한 일정은 회사의 공식 발표를 통해 확인해야 합니다.,2020년까지
95,"Ancient Peak, Inc.가 연방주류관리법 위반으로 받은 세금 조정 협상 금액은 얼마인가?","Ancient Peak, Inc.가 연방주류관리법 위반으로 받은 세금 조정 협상 금액에 대한 구체적인 수치는 제공된 정보로는 확인할 수 없습니다. 정확한 금액을 알고 싶으시다면 해당 기업이나 관련 당국에 문의하시는 것이 좋습니다.","15,000 달러"
96,Alpine Sausage Kitchen 소시지 회수의 이유는 무엇인가요?,"Alpine Sausage Kitchen의 소시지 회수는 주로 식품 안전성 문제나 오염 우려로 인해 이루어지며, 구체적인 이유는 공개되지 않았지만 일반적으로 식중독 유발 박테리아나 부적합한 제조 과정으로 인한 위험 때문입니다.",알레르기 유발 성분인 대두 미표시
97,온타리오주에서 확인된 청설병 감염 소는 어떤 혈청형인가요?,온타리오주에서 확인된 청설병 감염 소의 혈청형 정보는 현재 공개된 자료에 따라 구체적으로 명시되지 않았습니다. 정확한 혈청형 정보는 관련 공식 발표나 보고서를 통해 확인해야 합니다.,혈청형 13입니다.
98,House and Home Luche Libre Mugs의 회수 사유는 무엇인가요?,"회수 사유는 제품의 안전성 문제나 품질 결함으로 인한 것으로 보이지만, 구체적인 사유는 공개된 정보 없이 정확히 알 수 없습니다. 만약 특정 사유가 있다면 해당 내용이 공식 발표를 통해 공유될 것입니다.",끓는 물이나 액체를 머그잔에 부을 경우 머그잔 바닥이 금이 가고 깨지고 떨어져 나갈 가능성이 있기 때문입니다.
99,Jamp Vitamin B12 1200 Mcg 제품의 회수 사유는 무엇인가요?,회수 사유에 대한 구체적인 정보가 제공되지 않았습니다. 정확한 사유를 알고 싶으시다면 제조사나 관련 기관에 문의하시는 것이 좋습니다.,용출 검사서 규격 부적합
100,캐나다 보건부가 'Filix Mas'의 면허를 정지한 이유는 무엇인가?,캐나다 보건부가 'Filix Mas'의 면허를 정지한 구체적인 이유는 공개된 정보로는 명확히 확인되지 않았습니다. 자세한 사유는 추가 공식 발표가 필요합니다.,캐나다 보건부는 면마 성분의 다량 복용과 관련된 부작용에 대한 우려로 'Filix Mas'의 면허를 정지했습니다.
101,홍콩에서 발생한 H5N6 조류 인플루엔자는 현재 어떤 상태인가요?,"홍콩에서 발생한 H5N6 조류 인플루엔자는 현재 관리되고 있는 상황이며, 최근 확진 사례는 보고되지 않고 있습니다. 하지만 지속적인 모니터링이 필요합니다.","H5N6 발생은 종료되었으며, 추후 보고는 더 이상 없을 예정입니다."
102,브리티시컬럼비아에서 비브리오균에 오염된 생굴로 인한 식중독이 처음 보고된 시기는 언제인가요?,"브리티시 컬럼비아에서 비브리오균에 오염된 생굴로 인한 식중독이 처음 보고된 구체적인 시기는 공개 자료에서 명확하게 확인되지 않았습니다. 하지만, 생굴에 의한 식중독 사례는 전 세계적으로 오랜 기간 보고되어 왔으며, 특정 지역의 초기 보고 시기를 정확히 지목하기는 어렵습니다. 더 구체적인 정보는 현지 보건 당국의 기록을 참고해야 합니다.",지난 6월 30일에 보고되었습니다.
103,콜로라도 주의 어떤 식당에서 이집트 수입산 냉동 딸기가 제공되었나요?,콜로라도 주의 특정 식당에서 이집트 수입산 냉동 딸기가 제공된 구체적인 사례에 대한 공개 정보는 제한적입니다. 정확한 장소 정보를 제공하기 어렵습니다.,Fat Alberts restaurant (Greeley)와 Red Rooster restaurant (Longmont)에서 제공되었습니다.
104,Green Dirt Farm 'Dirt Lover' 염소유 치즈의 회수 이유는 무엇인가요?,"회수 이유는 특정 오염 문제 또는 품질 문제로 인한 것으로 보이나, 구체적인 사유는 공개된 정보로는 정확히 알 수 없습니다. 정확한 사유는 공식 발표를 참고해야 합니다.","포도상 구균 오염으로 인한 조치수준 (10,000 cfu/g) 초과입니다."
105,플렌티베이만 동부 지역의 패류를 가열하면 독소가 제거되나요?,"가열하면 일부 독소는 제거될 수 있지만, 모든 독소 제거를 보장할 수는 없습니다. 패류 독소 제거는 복잡하며 가열 방법과 시간에 따라 달라집니다.",이들 패류를 가열하더라도 독소는 제거되지 않음.
106,"Shearer's Foods, LLC사가 과자 제품을 회수한 이유는 무엇인가요?","Shearer's Foods, LLC가 과자 제품을 회수한 이유는 제품 내 금속 조각이 발견되었기 때문입니다.","Shearer's Foods, LLC사는 양념 공급업체로부터 자사의 양념에 사용되는 Valley Milk Products사의 무지방 고열 밀크 파우더 및 스위트 크림 버터 밀크 파우더가 회수됨을 알려옴에 따라 회수 조치함."
107,치폴레 식중독 사건의 원인으로 호주산 소고기가 지목된 이유는 무엇인가?,호주산 소고기가 특정 세균이나 오염 물질을 함유하고 있었던 것으로 추정되어 치폴레 식중독 사건의 원인으로 지목되었습니다.,치폴레 식중독 사건의 원인으로 호주산 소고기가 지목된 이유는 익명의 소식통에 따르면 호주산 소고기가 오염되었을 가능성이 높다고 결론내렸기 때문입니다.
108,Garden of Life LLC가 회수하는 제품의 오염 가능성이 있는 원료는 무엇인가요?,"Garden of Life LLC는 특정 오염 가능성이 있는 원료를 명시적으로 언급하지 않았으므로, 정확한 원료 정보를 제공하기 어렵습니다. 공식 발표나 공지사항을 확인해 보시는 것이 좋습니다.",모링가잎 분말
109,Dunsyre blue cheese가 대장균 O157 감염의 원인으로 지목된 이유는 무엇인가?,Dunsyre blue cheese가 대장균 O157 감염의 원인으로 지목된 것은 이 치즈 생산 과정에서 오염된 우유나 부적절한 위생 관리로 인해 대장균 O157이 혼입되었기 때문입니다.,스코틀랜드 보건보호국의 역학 조사 결과 Dunsyre blue cheese가 사건의 가장 유력한 원인 식품인 것으로 확인되었기 때문이다.
110,헝가리에서 H5N8 조류 인플루엔자가 처음 발생한 날짜는 언제인가요?,"헝가리에서 H5N8 조류 인플루엔자가 처음 발생한 정확한 날짜에 대한 공식 기록은 명확하지 않으나, 국제적인 보고에 따르면 2006년경부터 유럽 여러 국가에서 이 바이러스가 발견되기 시작했습니다. 헝가리의 경우 구체적인 첫 발생 날짜는 공개 자료에서 명확히 확인되지 않습니다.",2016년 11월 1일입니다.
