id,질문,예상답변,정답,제목,gold문서
28,펜실베니아주 상원이 통과시킨 법안의 주요 내용은 무엇인가?,펜실베니아주 상원이 통과시킨 법안은 학교가 학생들의 알레르기 증상 치료에 필요한 에피네프린을 비치하도록 의무화함.,학교가 심각한 알레르기 증상을 치료하는데 필요한 에피네프린을 구비하도록 하는 법안이다.,"미국 펜실베니아주 상원, 교내 알레르기 처방주사 비치안 통과","미국 펜실베니아주 상원, 교내 알레르기 처방주사 비치안 통과 미국 펜실베니아주 상원은 학교가 심각한 알레르기 증상을 치료하는데 필요한 약품을 구비하도록 하는 입법안을 만장일치로 통과시켰음. 하원법안 803은 알레르기 증세로 고통을 받는 사람에게 처방하는 에피네프린(epinephrine)을 학교가 구비하도록 할 것임.  매튜 스미스 상원은 학교가 적절한 노하우를 갖고 학생들이 학교에서 심각한 알레르기 증세를 겪는 일로부터 보호하는데 필수적인 조치라고 전했음. 현재 동 법안은 동의표결을 위해 하원에 회부됨...."
29,몬스터 에너지가 대학 캠퍼스에서 미성년 학생들을 어떻게 활용했나요?,"몬스터 에너지는 대학 캠퍼스에서 미성년 학생들을 ""대학생 사절단""으로 부르며 이들에게 무료 에너지 음료를 제공하고 알코올과 에너지 음료를 혼합하도록 지시했습니다.","몬스터 에너지는 대학 캠퍼스에서 자신들의 카페인이 함유된 음료를 홍보하기 위해 18-19세인 1, 2학년 미성년 학생 무리들을 고용하고, 이들을 '대학생 사절단'으로 부르며 무리 당 100달러를 지불했습니다.","미국 몬스터(사), 캠퍼스 내 미성년 대학생 사절단을 활용해 에너지 음료 홍보해 조사 중","미국 몬스터(사), 캠퍼스 내 미성년 대학생 사절단을 활용해 에너지 음료 홍보해 조사 중 몬스터 에너지(Monster Energy) 음료가 대학 캠퍼스에서 알코올 혼합음료에 사용되어 미성년 학생에게 판매되었다는 당국의 주장에 따라 오늘(현지시간), 면밀한 조사에 들어갔음. 에릭 슈나이더멘 뉴욕 법무장관은 몬스터 에너지의 판매 행태를 조사해오고 있으며 조사의 일환으로 업체로부터 추가 문서를 요구하고 있다고 전했음. 당국의 입장을 지지하기 위해 법무장관은 몬스터 에너지가 캠퍼스에서 자신들의 카페인이 함유된 음료를 홍보하기 위해 학생들을..."
30,테스코가 계산대에서 과자류 진열을 금지한 이유는 무엇인가?,"테스코가 계산대에 과자류 진열을 금지한 이유는 아이들이 부모를 졸라 건강에 좋지 않은 제품을 구입하고, 그로 인해 소아 비만이 증가하는 것을 막기 위함임.",아이들이 부모를 졸라 제품을 구입하고 소아 비만이 증가하는 것을 막기 위해서입니다.,"영국 테스코, 계산대에 과자류 진열 금지","영국 테스코, 계산대에 과자류 진열 금지 영국 테스코가 아이들이 부모를 졸라 제품을 구입하고 소아 비만이 증가하는 것을 막기 위해 모든 매장에서 계산대에 과자와 초콜릿류를 진열하는 것을 금지함. 부모와 보건운동가들의 요청에 따라 당과 지방 함량이 높은 과자류를 계산대에 진열하는 것을 단계적으로 중단할 것이라고 함. 테스코는 20년 전, 대형 매장의 계산대에 과자류를 진열하는 것을 중단했지만 현재 테스코 익스프레스(Tesco Express)나 테스코 메트로(Tesco Metro) 같은 약 1,800개의 소규모 매장에도 이를 확대 적용..."
31,Sam Kane Beef Processors가 회수한 분쇄 소고기 가공품의 제조시설번호는 무엇인가요?,제조시설번호는 337입니다.,제조시설번호는 337입니다.,"[회수]미국 Sam Kane Beef Processors, 이물(금속) 혼입 가능성으로 분쇄 소고기가공품 회수","[회수]미국 Sam Kane Beef Processors, 이물(금속) 혼입 가능성으로 분쇄 소고기가공품 회수 미국 농무부 식품안전검사국, 'Sam Kane Beef Processors'의 분쇄 소고기 가공품을 이물(금속) 혼입 가능성으로 회수 발표 - 일시: 2014.10. 4.- 제품 정보: 1)HEB Ground Chuck(3 lb, 제조시설번호: 337, 생산일: 2014. 9. 12. 유통기한: 2014. 10. 2.) 2)HEB Ground Beef/73% LEAN 27% FAT(5 lb, 제조시설번호: 337, 생산일:..."
32,론 모라이스씨가 커피 컵에서 쥐 사체를 발견한 후 맥도날드는 어떤 조치를 취했나요?,"맥도날드측은 지역 공중보건 당국과 함께 문제의 매장을 조사하도록 했고, 해충박멸 전문업체의 의견을 전했습니다.","캐나다 맥도날드 동부지역 홍보 관리자는 사태 파악 직후 지역 공중보건 당국과 함께 문제의 매장을 조사하고 나섰다고 말했으며, 현재도 조사가 진행 중입니다.",캐나다 맥도날드 커피컵에서 쥐 사체 발견,"캐나다 맥도날드 커피컵에서 쥐 사체 발견 캐나다 뉴브런즈윅 프레더릭턴에 거주하는 론 모라이스씨는 일하러 가던 중 지역 맥도날드 매장에서 산 커피 컵에서 쥐 사체를 목격했다고 밝혔음.  이에 캐나다 맥도날드 동부지역 홍보 관리자는 사태 파악 직후 지역 공중보건 당국과 함께 문제의 매장을 조사하고 나섰다고 말했음. 현재도 조사가 진행 중임.  14일자(현지시간) 보건부의 음식점 실사 기록을 보면, 해충의 근거가 없고, 식품이 모두 밀봉되어 있었다고 적혀있음. 맥도날드측도 건물 내에 설치류의 흔적이 없다는 해충박멸 전문업체의 의견을 전했..."
33,미시간주 파날 교도소에서 식중독이 발생한 이유는 무엇인가?,해당 문서에 없음.,교정시설의 식품 제공 라인과 감자에서 구더기가 발견된 바 있으나 정확히 드러난 사실은 없음.,"[식중독]미국, 미시간주에 소재한 교도소에 150여명 식중독 발생","[식중독]미국, 미시간주에 소재한 교도소에 150여명 식중독 발생 - 일시: 2014년 6월 28일부터- 지역: 미시간주 잭슨시에 소재한 파날 교도소(Parnall Correctional Facility)- 발생규모: 150 여명- 발생사유: 교정시설의 식품 제공 라인과 감자에서 구더기가 발견된 바 있으나 정확히 드러난 사실은 없음.- 기타: 당초 30여명으로 보고되었던 발병자가 늘어나 150여명으로 추산됨. 교정부 관계자는 건전하지 못한 식품으로 인한 것인지 말할 수 없다 밝혔음. 당초 식품 제공 라인에서 구더기가 발견된 바 있었..."
34,프린스에드워드섬 감자 산업체가 바늘이 감자에 들어간 정보를 제보하는 사람에게 지급하는 보상금은 얼마인가?,프린스에드워드섬 감자 산업체는 바늘이 감자에 들어간 정보를 제보하는 사람에게 최대 5만 달러를 지급합니다.,최대 5만 달러,"캐나다 왕립기마경찰대, 프린스에드워드섬에서 바늘박힌 감자 추가 발견해 지금껏 총 10개 확인","캐나다 왕립기마경찰대, 프린스에드워드섬에서 바늘박힌 감자 추가 발견해 지금껏 총 10개 확인 캐나다 왕립기마경찰대(RCMP)는 프린스에드워드섬의 식품 조작 사건 조사 과정에서 바늘이 박힌 감자가 총 10개였다고 밝혔음. 금속탐지기기를 통해 '링크레터 팜스(Linkletter Farms)'에서 생산된 감자 3개에서 바늘이 추가 발견되었음.  해당 감자는 자율 회수 대상으로 반송된 제품이었으며, 추가 검사를 하기 위해 법의학 실험실로 보내졌음. 경찰은 대서양 지역 전반에서 발생한 감자 조작 사례 7건을 이미 조사한 상태임.  경찰대는 ..."
35,프린스에드워드섬에서 발견된 감자에 바늘이 몇 개나 나왔나요?,총 바늘 7개가 발견되었습니다.,총 7개 나왔음.,"캐나다, 바늘 박힌 7번째 감자 발견","캐나다, 바늘 박힌 7번째 감자 발견 캐나다 프린스에드워드섬의 감자에서 또다시 바늘이 발견되면서 지금까지 총 바늘 7개 나왔음. 프린스에드워드섬 왕립기마경찰대는 보도자료를 통해 래브라도시(市)의 한 소비자가 2주 전 구입한 감자에서 바늘을 발견했다고 밝혔음.  문제의 감자는 지난 10월 6일(현지시간) 래브라도시에서 발견된 감자와 구매처와 로트가 동일했음. 관계자는 제품을 회수하기 전에 구매했다가 10월 19일이 되어서야 바늘을 발견하게 되었다면서 경찰은 '링크레터 팜스(Linkletter Farms Ltd.)'가 납품한 감자였던 ..."
36,유럽식품안전청이 개최한 제1회 식품접촉물질 전문가 네트워크 회의는 언제 열렸나요?,유럽식품안전청이 개최한 제1회 식품접촉물질 전문가 네트워크 회의는 11월 12일부터 14일까지 열렸습니다.,11월 12일에서 14일까지 열렸습니다.,"유럽식품안전청, 제1회 식품접촉물질 전문가 네트워크 회의 개최","유럽식품안전청, 제1회 식품접촉물질 전문가 네트워크 회의 개최 유럽식품안전청(EFSA)은 11월 12일에서 14일까지 이탈리아 파르마에서 제1회 식품접촉물질 전문가 네트워크 회의를 개최함. 유럽연합 회원국가의 전문가들은 회의에 모여 식품접촉물질과 관련한 위해평가 활동과 비플라스틱(non-plastic) 식품접촉물질 부문의 도전과제 및 접근법을 논의할 예정임.  현재 유럽연합은 플라스틱과 재활용 플라스틱, 그리고 일부 화학물질로 생산된 식품접촉물질에 관한 통일된 규정을 보유하고 있으나 비플라스틱 식품접촉물질에 관한 규정은 부재한 실정..."
37,2013년에 강황/커큐민 성분을 함유한 허브 식이보충제의 판매량은 얼마나 증가했나요?,2013년 강황/커큐민 성분 함유 허브 식이보충제의 판매량은 26.2% 증가했습니다.,2013년에 강황/커큐민 성분을 함유한 허브 식이보충제의 판매량은 26.2% 증가했습니다.,"미국 약용식물협의회, 허브 식이보충제 유통시장 중 강황/커큐민 성분 함유 보충제 최고 판매순위 기록","미국 약용식물협의회, 허브 식이보충제 유통시장 중 강황/커큐민 성분 함유 보충제 최고 판매순위 기록 미국 약용식물협의회(American Botanical Council,ABC)는 미국내 강황/커큐민 성분을 주로 함유한 허브 식이보충제 판매량이 2013년 26.2% 상승해, 천연 유통시장내 최고 순위를 기록했다고 ABC의 'HerbalGram'지에 발표함. 이는 2011년과 2012년 3위를 기록했던 것을 미루어볼 때 인상적인 부분임. 강황이 천연시장 유통경로 내 최고 판매순위를 기록하면서 밀순(Triticum aestivum)/보리..."
38,로드아일랜드의 제임스 페이조와 패트리시아 페이조가 판매한 미승인 제품의 이름은 무엇인가?,"'7 Herb Formula', 'Bio Shark', 'GDU', 'Daniel Chapter One' 제품이 판매되었음.","'7 Herb Formula', 'Bio Shark', 'GDU'","미국 연방법원, FDA의 승인없이 보충제 판매한 로드아일랜드의 사업자 기소","미국 연방법원, FDA의 승인없이 보충제 판매한 로드아일랜드의 사업자 기소 미국 연방검사 피터 네론하(Peter F. Neronha) 측에 따르면 로드아일랜드 포츠머스(Portsmouth)소재의 한 부부(제임스 페이조  패트리시아 페이조) 사업주가 식품의약품청(FDA)의 승인을 받지 않은 암치료용 상품 200만 달러 치를 광고 및 판매한 혐의로 기소되었다고 함.  고발문서에 따르면 페이조는 미승인 건강식품과 FDA가 섭취하기에 안전하거나 효율적인 것으로 간주되지 않는 '7 Herb Formula', 'Bio Shark', 'GDU'..."
39,미국 FDA가 발행한 참치 통조림 제품의 임시 허가는 언제까지 유효한가?,"해당 문서에 명시된 발효기한은 신청인들이 제품을 주간거래에 도입하거나 도입을 야기한 시점으로부터 15일간 유효하며, 단 2014년 9월 18일 이전이어야 함.","발효기한은 각 신청인들이 제품을 주간거래에 도입하거나 도입을 야기한 시점으로부터 15일간 유효하며, 2014년 9월 18일 전이어야 함.","미국 FDA, 참치 통조림 제품 시장성 조사를 위한 임시 허가 발행","미국 FDA, 참치 통조림 제품 시장성 조사를 위한 임시 허가 발행 미국 식품의약품청(FDA)은 '범블 비 푸드(사)(Bumble Bee Foods, LLC.)', 'Chicken of the Sea International(사)', 'StarKist Seafood(사)'의 임시 허가 요청에 따라, 참치 통조림 제품의 시장성 조사를 위한 임시 허가를 발행함. 임시 허가는 미국과 푸에르토 리코 전역을 통틀어 제품의 시장성을 조사하기 위함임. 이 허가는 신청인이 제품에 대한 소비자 수용성을 측정하고 상업화 시행 가능성을 평가하도록 할 ..."
40,유럽연합집행위원회가 벌 보호에 관한 고위급 회의를 개최한 날짜는 언제인가요?,4월 7일입니다.,4월 7일,"유럽연합집행위원회, 벌 보호에 관한 고위급 회의 개최","유럽연합집행위원회, 벌 보호에 관한 고위급 회의 개최 유럽연합집행위원회(EC)는 4월 7일에 브뤼셀에서 벌 보호에 관한 고위급 회의를 개최함. 회의에서는 최근 발생하고 있는 벌 개체 수 감소 및 벌 건강에 대한 우려와 관련하여 유럽연합 지역에서 취해지고 있는 대응 방안이 소개될 예정임.  벌 개체 수 감소 원인과 관련하여 유럽연합과 회원국, 그리고 지역 차원에서 취하고 있는 정책에 대한 대화, 지식 교환, 공동 접근법 등의 장려가 회의의 목적임.  유럽연홥회원국과 벌 보호 관련 기구, 비정부기구, 양봉가 등 농업과 동물 보건 분야 ..."
